国名（日本語）,code3,輸出1位_品目,輸出2位_品目,輸出3位_品目,輸出4位_品目,輸出5位_品目,輸出6位_品目,輸出7位_品目,輸出8位_品目,輸出9位_品目,輸出10位_品目,輸入1位_品目,輸入2位_品目,輸入3位_品目,輸入4位_品目,輸入5位_品目,輸入6位_品目,輸入7位_品目,輸入8位_品目,輸入9位_品目,輸入10位_品目,貿易相手1位_国名,貿易相手1位_シェア%,貿易相手2位_国名,貿易相手2位_シェア%,貿易相手3位_国名,貿易相手3位_シェア%,貿易相手4位_国名,貿易相手4位_シェア%,貿易相手5位_国名,貿易相手5位_シェア%,貿易相手6位_国名,貿易相手6位_シェア%,貿易相手7位_国名,貿易相手7位_シェア%,貿易相手8位_国名,貿易相手8位_シェア%,貿易相手9位_国名,貿易相手9位_シェア%,貿易相手10位_国名,貿易相手10位_シェア%,貿易統計_年,貿易統計_出典
チャド,TCD,鉱物燃料・エネルギー（原油・石炭等）,採油用種子・果実・藁,ラック・ガム・樹脂,自動車・同部品,綿・綿織物,航空機・宇宙船・同部品,衣類・衣類付属品（織物）,書籍・新聞・絵画・印刷物,電気機器・録音機・テレビ等,銅・同製品,電気機器・録音機・テレビ等,自動車・同部品,穀物・粉製品・製菓,一般機械・原子炉・ボイラー等,各種調製食料品,じゅうたん・その他の紡織用床用敷物,医薬品,穀粉・でん粉・麦芽,光学機器・写真用機器・医療用機器,プラスチック・同製品,アラブ首長国連邦,32.7%,ドイツ,19.6%,オランダ,17.0%,中国,13.1%,フランス,6.1%,マレーシア,3.4%,トルコ,2.9%,台湾,2.4%,インド,0.9%,バングラデシュ,0.8%,2024,UN Comtrade / IMF DOTS (2024年)
タジキスタン,TJK,鉱石・スラグ・灰,綿・綿織物,アルミニウム・同製品,他の卑金属・サーメット,鉱物燃料・エネルギー（原油・石炭等）,果実・ナッツ,電気機器・録音機・テレビ等,塩・硫黄・土石類・セメント,衣類・衣類付属品（織物）,無機化学品・貴金属化合物,自動車・同部品,一般機械・原子炉・ボイラー等,穀物,鉄鋼,鉱物燃料・エネルギー（原油・石炭等）,木材・木製品・木炭,電気機器・録音機・テレビ等,動物性・植物性油脂,無機化学品・貴金属化合物,糖類・砂糖菓子,中国,26.6%,"Uzbekistan, Republic of",15.3%,ロシア,13.8%,トルコ,13.2%,イラン,10.9%,"Afghanistan, Islamic Republic of",9.2%,"Kazakhstan, Republic of",3.5%,パキスタン,2.0%,アラブ首長国連邦,1.5%,ベラルーシ,0.9%,2023,UN Comtrade / IMF DOTS (2023年)
トルクメニスタン,TKM,鉱物燃料・エネルギー（原油・石炭等）,綿・綿織物,肥料,プラスチック・同製品,無機化学品・貴金属化合物,原料皮・革,銅・同製品,採油用種子・果実・藁,塩・硫黄・土石類・セメント,人造繊維の長繊維,一般機械・原子炉・ボイラー等,電気機器・録音機・テレビ等,鉄鋼製品,自動車・同部品,家具・寝具・照明器具・プレハブ建築,プラスチック・同製品,各種化学工業生産品,光学機器・写真用機器・医療用機器,アルミニウム・同製品,精油・香料・化粧品,中国,66.0%,"Uzbekistan, Republic of",15.0%,トルコ,5.8%,ギリシャ,1.8%,"Afghanistan, Islamic Republic of",1.3%,ブラジル,1.3%,ロシア,1.1%,アルゼンチン,0.8%,ブルガリア,0.8%,"Azerbaijan, Republic of",0.8%,2024,UN Comtrade / IMF DOTS (2024年)
東ティモール,TLS,鉱物燃料・エネルギー（原油・石炭等）,航空機・宇宙船・同部品,コーヒー・茶・スパイス,一般機械・原子炉・ボイラー等,船舶・浮体構造物,鉄鋼製品,光学機器・写真用機器・医療用機器,電気機器・録音機・テレビ等,採油用種子・果実・藁,果実・ナッツ,鉱物燃料・エネルギー（原油・石炭等）,自動車・同部品,穀物,一般機械・原子炉・ボイラー等,電気機器・録音機・テレビ等,鉄鋼,飲料・アルコール・酢,穀物・粉製品・製菓,肉・食用屑,塩・硫黄・土石類・セメント,インドネシア,28.8%,中国,24.3%,日本,12.7%,オーストラリア,12.4%,アメリカ,9.6%,Sri Lanka,1.4%,オランダ,1.3%,サウジアラビア,1.1%,Mauritius,0.9%,シンガポール,0.8%,2023,UN Comtrade / IMF DOTS (2023年)
トンガ,TON,書籍・新聞・絵画・印刷物,食用の野菜・根菜,航空機・宇宙船・同部品,一般機械・原子炉・ボイラー等,魚介類・甲殻類,自動車・同部品,光学機器・写真用機器・医療用機器,採油用種子・果実・藁,電気機器・録音機・テレビ等,果実・ナッツ,鉱物燃料・エネルギー（原油・石炭等）,一般機械・原子炉・ボイラー等,自動車・同部品,肉・食用屑,電気機器・録音機・テレビ等,飲料・アルコール・酢,鉄鋼製品,ガラス・同製品,穀物・粉製品・製菓,木材・木製品・木炭,ニュージーランド,54.3%,"Fiji, Republic of",14.1%,オーストラリア,9.8%,アメリカ,6.8%,日本,4.7%,台湾,4.2%,マレーシア,3.8%,韓国,1.0%,シンガポール,0.5%,インドネシア,0.4%,2023,UN Comtrade / IMF DOTS (2023年)
ツバル,TUV,魚介類・甲殻類,船舶・浮体構造物,電気機器・録音機・テレビ等,真珠・貴金属・宝石・装飾品,一般機械・原子炉・ボイラー等,各種化学工業生産品,ウォッディング・フェルト・不織布・紐,自動車・同部品,特殊取扱品（その他）,家具・寝具・照明器具・プレハブ建築,特殊取扱品（その他）,鉄鋼製品,一般機械・原子炉・ボイラー等,鉱物燃料・エネルギー（原油・石炭等）,電気機器・録音機・テレビ等,ウォッディング・フェルト・不織布・紐,糖類・砂糖菓子,自動車・同部品,家具・寝具・照明器具・プレハブ建築,塩・硫黄・土石類・セメント,ナイジェリア,36.8%,フィリピン,23.0%,韓国,13.1%,Ecuador,5.9%,香港,3.3%,スウェーデン,2.8%,フランス,1.9%,ブラジル,1.6%,ポルトガル,1.5%,チリ,1.4%,2024,UN Comtrade / IMF DOTS (2024年)
バチカン,VAT,特殊取扱品（その他）,美術品・収集品・骨とう,一般機械・原子炉・ボイラー等,真珠・貴金属・宝石・装飾品,電気機器・録音機・テレビ等,書籍・新聞・絵画・印刷物,石けん・有機界面活性剤・ワックス,衣類・衣類付属品（編物）,光学機器・写真用機器・医療用機器,ウォッディング・フェルト・不織布・紐,鉱物燃料・エネルギー（原油・石炭等）,自動車・同部品,一般機械・原子炉・ボイラー等,光学機器・写真用機器・医療用機器,医薬品,飲料・アルコール・酢,アルミニウム・同製品,家具・寝具・照明器具・プレハブ建築,電気機器・録音機・テレビ等,美術品・収集品・骨とう,イギリス,17.1%,El Salvador,14.2%,ナイジェリア,13.3%,ドイツ,7.8%,Djibouti,7.7%,Niger,4.3%,ガーナ,3.7%,ベルギー,3.1%,香港,3.0%,シンガポール,2.9%,2024,UN Comtrade / IMF DOTS (2024年)
セントビンセント・グレナディーン,VCT,穀粉・でん粉・麦芽,食品工業廃棄物・飼料,魚介類・甲殻類,飲料・アルコール・酢,一般機械・原子炉・ボイラー等,アルミニウム・同製品,食用の野菜・根菜,ガラス・同製品,鉄鋼,果実・ナッツ,鉱物燃料・エネルギー（原油・石炭等）,一般機械・原子炉・ボイラー等,電気機器・録音機・テレビ等,鉄鋼製品,自動車・同部品,肉・食用屑,家具・寝具・照明器具・プレハブ建築,穀物,プラスチック・同製品,飲料・アルコール・酢,,,,,,,,,,,,,,,,,,,,,2023,UN Comtrade / IMF DOTS (2023年)
ベネズエラ,VEN,鉱物燃料・エネルギー（原油・石炭等）,有機化学品,鉄鋼,鉱石・スラグ・灰,肥料,無機化学品・貴金属化合物,船舶・浮体構造物,アルミニウム・同製品,他の卑金属・サーメット,各種化学工業生産品,一般機械・原子炉・ボイラー等,電気機器・録音機・テレビ等,医薬品,鉄鋼製品,穀物,プラスチック・同製品,有機化学品,肉・食用屑,光学機器・写真用機器・医療用機器,動物（生体）,アメリカ,40.3%,インド,12.6%,中国,10.4%,Dominican Republic,7.2%,Cuba,5.4%,スペイン,4.5%,"Aruba, Kingdom of the Netherlands",4.4%,ブラジル,3.0%,イタリア,1.4%,オランダ,1.2%,2013,UN Comtrade / IMF DOTS (2013年)
ベトナム,VNM,電気機器・録音機・テレビ等,一般機械・原子炉・ボイラー等,履物・ゲートル同製品,衣類・衣類付属品（織物）,衣類・衣類付属品（編物）,家具・寝具・照明器具・プレハブ建築,鉄鋼,プラスチック・同製品,果実・ナッツ,魚介類・甲殻類,電気機器・録音機・テレビ等,鉱物燃料・エネルギー（原油・石炭等）,一般機械・原子炉・ボイラー等,プラスチック・同製品,鉄鋼,光学機器・写真用機器・医療用機器,特殊取扱品（その他）,自動車・同部品,穀物,メリヤス編物・クロセ編物,アメリカ,33.4%,中国,15.0%,韓国,6.0%,日本,5.8%,香港,3.8%,オランダ,2.8%,カナダ,2.6%,インド,2.2%,ドイツ,1.9%,イギリス,1.8%,2023,UN Comtrade / IMF DOTS (2023年)
バヌアツ,VUT,採油用種子・果実・藁,動物性・植物性油脂,魚介類・甲殻類,肉・食用屑,なめし・染色エキス・塗料・インキ,ココア・ココア調製品,飲料・アルコール・酢,特殊取扱品（その他）,鉄鋼,食品工業廃棄物・飼料,鉱物燃料・エネルギー（原油・石炭等）,電気機器・録音機・テレビ等,医薬品,一般機械・原子炉・ボイラー等,自動車・同部品,穀物,穀物・粉製品・製菓,鉄鋼製品,飲料・アルコール・酢,肉・魚介類の調製品,"Fiji, Republic of",37.4%,New Caledonia,23.7%,マレーシア,16.2%,フィリピン,8.3%,香港,5.9%,Papua New Guinea,3.6%,インドネシア,1.5%,Solomon Islands,1.1%,ニュージーランド,0.6%,日本,0.6%,2011,UN Comtrade / IMF DOTS (2011年)
