国名（日本語）,code3,輸出1位_品目,輸出2位_品目,輸出3位_品目,輸出4位_品目,輸出5位_品目,輸出6位_品目,輸出7位_品目,輸出8位_品目,輸出9位_品目,輸出10位_品目,輸入1位_品目,輸入2位_品目,輸入3位_品目,輸入4位_品目,輸入5位_品目,輸入6位_品目,輸入7位_品目,輸入8位_品目,輸入9位_品目,輸入10位_品目,貿易相手1位_国名,貿易相手1位_シェア%,貿易相手2位_国名,貿易相手2位_シェア%,貿易相手3位_国名,貿易相手3位_シェア%,貿易相手4位_国名,貿易相手4位_シェア%,貿易相手5位_国名,貿易相手5位_シェア%,貿易相手6位_国名,貿易相手6位_シェア%,貿易相手7位_国名,貿易相手7位_シェア%,貿易相手8位_国名,貿易相手8位_シェア%,貿易相手9位_国名,貿易相手9位_シェア%,貿易相手10位_国名,貿易相手10位_シェア%,貿易統計_年,貿易統計_出典
アルメニア,ARM,真珠・貴金属・宝石・装飾品,電気機器・録音機・テレビ等,鉱石・スラグ・灰,たばこ・製造たばこ代用品,飲料・アルコール・酢,一般機械・原子炉・ボイラー等,衣類・衣類付属品（織物）,鉄鋼,光学機器・写真用機器・医療用機器,衣類・衣類付属品（編物）,真珠・貴金属・宝石・装飾品,電気機器・録音機・テレビ等,鉱物燃料・エネルギー（原油・石炭等）,一般機械・原子炉・ボイラー等,自動車・同部品,光学機器・写真用機器・医療用機器,プラスチック・同製品,医薬品,鉄鋼,衣類・衣類付属品（織物）,ロシア,35.4%,アラブ首長国連邦,24.6%,中国,9.1%,香港,6.4%,イラク,4.0%,ベラルーシ,1.9%,スイス,1.9%,オランダ,1.7%,ベルギー,1.6%,ジョージア,1.6%,2024,UN Comtrade / IMF DOTS (2024年)
バルバドス,BRB,鉱物燃料・エネルギー（原油・石炭等）,飲料・アルコール・酢,医薬品,穀物・粉製品・製菓,紙・板紙・製品,真珠・貴金属・宝石・装飾品,動物性・植物性油脂,鉄鋼,各種化学工業生産品,自動車・同部品,鉱物燃料・エネルギー（原油・石炭等）,一般機械・原子炉・ボイラー等,自動車・同部品,電気機器・録音機・テレビ等,プラスチック・同製品,家具・寝具・照明器具・プレハブ建築,飲料・アルコール・酢,鉄鋼製品,医薬品,各種調製食料品,アメリカ,19.6%,イギリス,19.0%,Jamaica,8.5%,Trinidad and Tobago,7.6%,St. Lucia,6.7%,Guyana,4.6%,フランス,4.3%,St. Vincent and the Grenadines,4.2%,Grenada,4.1%,Antigua and Barbuda,3.5%,2025,UN Comtrade / IMF DOTS (2025年)
ベルギー,BEL,医薬品,鉱物燃料・エネルギー（原油・石炭等）,自動車・同部品,一般機械・原子炉・ボイラー等,プラスチック・同製品,鉄鋼,電気機器・録音機・テレビ等,有機化学品,真珠・貴金属・宝石・装飾品,光学機器・写真用機器・医療用機器,鉱物燃料・エネルギー（原油・石炭等）,自動車・同部品,医薬品,一般機械・原子炉・ボイラー等,電気機器・録音機・テレビ等,有機化学品,プラスチック・同製品,光学機器・写真用機器・医療用機器,真珠・貴金属・宝石・装飾品,鉄鋼,ドイツ,19.2%,フランス,13.1%,オランダ,13.1%,アメリカ,6.4%,イギリス,5.5%,イタリア,5.2%,スペイン,3.8%,ポーランド,3.1%,スウェーデン,1.9%,中国,1.6%,2024,UN Comtrade / IMF DOTS (2024年)
バミューダ,BMU,航空機・宇宙船・同部品,特殊取扱品（その他）,一般機械・原子炉・ボイラー等,光学機器・写真用機器・医療用機器,電気機器・録音機・テレビ等,真珠・貴金属・宝石・装飾品,飲料・アルコール・酢,時計・同部品,各種の卑金属製品,鉄鋼製品,鉱物燃料・エネルギー（原油・石炭等）,特殊取扱品（その他）,書籍・新聞・絵画・印刷物,一般機械・原子炉・ボイラー等,電気機器・録音機・テレビ等,家具・寝具・照明器具・プレハブ建築,自動車・同部品,飲料・アルコール・酢,医薬品,プラスチック・同製品,,,,,,,,,,,,,,,,,,,,,2024,UN Comtrade / IMF DOTS (2024年)
ボリビア,BOL,鉱石・スラグ・灰,鉱物燃料・エネルギー（原油・石炭等）,真珠・貴金属・宝石・装飾品,食品工業廃棄物・飼料,すず・同製品,動物性・植物性油脂,肉・食用屑,果実・ナッツ,採油用種子・果実・藁,肥料,鉱物燃料・エネルギー（原油・石炭等）,一般機械・原子炉・ボイラー等,自動車・同部品,電気機器・録音機・テレビ等,プラスチック・同製品,各種化学工業生産品,鉄鋼,医薬品,鉄鋼製品,各種調製食料品,中国,19.1%,ブラジル,12.8%,インド,8.5%,日本,7.6%,ペルー,6.0%,コロンビア,5.9%,アメリカ,4.3%,韓国,4.2%,ベルギー,4.1%,アラブ首長国連邦,3.6%,2024,UN Comtrade / IMF DOTS (2024年)
ボスニア・ヘルツェゴビナ,BIH,電気機器・録音機・テレビ等,一般機械・原子炉・ボイラー等,家具・寝具・照明器具・プレハブ建築,鉄鋼製品,鉱物燃料・エネルギー（原油・石炭等）,木材・木製品・木炭,アルミニウム・同製品,プラスチック・同製品,無機化学品・貴金属化合物,自動車・同部品,鉱物燃料・エネルギー（原油・石炭等）,一般機械・原子炉・ボイラー等,自動車・同部品,電気機器・録音機・テレビ等,プラスチック・同製品,鉄鋼,医薬品,アルミニウム・同製品,鉄鋼製品,銅・同製品,クロアチア,18.1%,ドイツ,14.4%,セルビア,11.2%,オーストリア,9.1%,スロベニア,8.3%,イタリア,7.5%,Montenegro,4.1%,トルコ,2.4%,オランダ,2.3%,チェコ,2.1%,2025,UN Comtrade / IMF DOTS (2025年)
ブラジル,BRA,鉱物燃料・エネルギー（原油・石炭等）,採油用種子・果実・藁,鉱石・スラグ・灰,肉・食用屑,糖類・砂糖菓子,コーヒー・茶・スパイス,自動車・同部品,一般機械・原子炉・ボイラー等,鉄鋼,木材パルプ・回収紙,一般機械・原子炉・ボイラー等,鉱物燃料・エネルギー（原油・石炭等）,電気機器・録音機・テレビ等,自動車・同部品,肥料,有機化学品,医薬品,プラスチック・同製品,光学機器・写真用機器・医療用機器,各種化学工業生産品,中国,28.9%,アメリカ,11.0%,アルゼンチン,5.2%,オランダ,3.4%,スペイン,2.5%,メキシコ,2.2%,シンガポール,2.1%,カナダ,2.1%,チリ,2.1%,インド,2.0%,2025,UN Comtrade / IMF DOTS (2025年)
ベリーズ,BLZ,糖類・砂糖菓子,果実・ナッツ,鉱物燃料・エネルギー（原油・石炭等）,魚介類・甲殻類,野菜・果実等の調製品,たばこ・製造たばこ代用品,動物（生体）,食品工業廃棄物・飼料,動物性・植物性油脂,食用の野菜・根菜,鉱物燃料・エネルギー（原油・石炭等）,一般機械・原子炉・ボイラー等,自動車・同部品,電気機器・録音機・テレビ等,たばこ・製造たばこ代用品,プラスチック・同製品,鉄鋼製品,鉄鋼,履物・ゲートル同製品,各種化学工業生産品,イギリス,40.6%,アメリカ,14.7%,Trinidad and Tobago,9.8%,Honduras,6.6%,Jamaica,5.5%,アイルランド,4.0%,Guatemala,3.2%,Barbados,2.7%,メキシコ,2.4%,台湾,1.6%,2025,UN Comtrade / IMF DOTS (2025年)
ブルネイ,BRN,鉱物燃料・エネルギー（原油・石炭等）,有機化学品,肥料,一般機械・原子炉・ボイラー等,船舶・浮体構造物,鉄鋼製品,航空機・宇宙船・同部品,電気機器・録音機・テレビ等,光学機器・写真用機器・医療用機器,鉄鋼,鉱物燃料・エネルギー（原油・石炭等）,一般機械・原子炉・ボイラー等,特殊取扱品（その他）,電気機器・録音機・テレビ等,鉄鋼製品,医薬品,光学機器・写真用機器・医療用機器,自動車・同部品,人造繊維の長繊維,食品工業廃棄物・飼料,オーストラリア,22.3%,中国,19.3%,シンガポール,13.3%,日本,11.9%,マレーシア,6.2%,タイ,5.7%,韓国,3.7%,フィリピン,3.4%,ニュージーランド,3.0%,ベトナム,2.6%,2024,UN Comtrade / IMF DOTS (2024年)
ブルガリア,BGR,電気機器・録音機・テレビ等,銅・同製品,鉱物燃料・エネルギー（原油・石炭等）,一般機械・原子炉・ボイラー等,特殊取扱品（その他）,穀物,自動車・同部品,プラスチック・同製品,鉱石・スラグ・灰,医薬品,鉱物燃料・エネルギー（原油・石炭等）,電気機器・録音機・テレビ等,一般機械・原子炉・ボイラー等,自動車・同部品,鉱石・スラグ・灰,医薬品,プラスチック・同製品,鉄鋼,銅・同製品,鉄鋼製品,ドイツ,15.4%,ルーマニア,11.3%,トルコ,7.7%,イタリア,7.0%,ギリシャ,6.5%,フランス,3.4%,ポーランド,2.8%,スペイン,2.3%,アメリカ,2.3%,セルビア,2.2%,2024,UN Comtrade / IMF DOTS (2024年)
ミャンマー,MMR,鉱物燃料・エネルギー（原油・石炭等）,衣類・衣類付属品（織物）,穀物,食用の野菜・根菜,衣類・衣類付属品（編物）,魚介類・甲殻類,ゴム・同製品,履物・ゲートル同製品,電気機器・録音機・テレビ等,果実・ナッツ,鉱物燃料・エネルギー（原油・石炭等）,人造繊維の短繊維,動物性・植物性油脂,人造繊維の長繊維,肥料,一般機械・原子炉・ボイラー等,電気機器・録音機・テレビ等,鉄鋼,プラスチック・同製品,自動車・同部品,中国,23.5%,タイ,19.1%,日本,8.6%,インド,6.2%,ドイツ,4.5%,アメリカ,3.6%,バングラデシュ,3.4%,インドネシア,3.0%,韓国,2.9%,ポーランド,2.8%,2024,UN Comtrade / IMF DOTS (2024年)
カンボジア,KHM,衣類・衣類付属品（編物）,衣類・衣類付属品（織物）,革製品・旅行用具・ハンドバッグ,穀物,電気機器・録音機・テレビ等,履物・ゲートル同製品,ゴム・同製品,家具・寝具・照明器具・プレハブ建築,果実・ナッツ,食用の野菜・根菜,鉱物燃料・エネルギー（原油・石炭等）,メリヤス編物・クロセ編物,電気機器・録音機・テレビ等,一般機械・原子炉・ボイラー等,自動車・同部品,人造繊維の短繊維,プラスチック・同製品,アルミニウム・同製品,鉄鋼製品,綿・綿織物,アメリカ,47.7%,ベトナム,9.1%,日本,5.5%,カナダ,4.8%,中国,4.8%,スペイン,4.3%,イギリス,4.1%,オランダ,3.7%,ドイツ,3.6%,タイ,2.4%,2024,UN Comtrade / IMF DOTS (2024年)
カナダ,CAN,鉱物燃料・エネルギー（原油・石炭等）,自動車・同部品,一般機械・原子炉・ボイラー等,真珠・貴金属・宝石・装飾品,特殊取扱品（その他）,電気機器・録音機・テレビ等,プラスチック・同製品,航空機・宇宙船・同部品,木材・木製品・木炭,アルミニウム・同製品,自動車・同部品,一般機械・原子炉・ボイラー等,電気機器・録音機・テレビ等,鉱物燃料・エネルギー（原油・石炭等）,真珠・貴金属・宝石・装飾品,プラスチック・同製品,医薬品,光学機器・写真用機器・医療用機器,特殊取扱品（その他）,鉄鋼製品,アメリカ,72.6%,イギリス,6.0%,中国,4.4%,日本,1.9%,オランダ,1.3%,ドイツ,1.2%,メキシコ,1.1%,韓国,0.9%,フランス,0.6%,イタリア,0.5%,2025,UN Comtrade / IMF DOTS (2025年)
カーボベルデ,CPV,肉・魚介類の調製品,衣類・衣類付属品（編物）,履物・ゲートル同製品,衣類・衣類付属品（織物）,玩具・遊戯具・運動用具・同部品,食品工業廃棄物・飼料,魚介類・甲殻類,野菜・果実等の調製品,帽子・同部品,メリヤス編物・クロセ編物,鉱物燃料・エネルギー（原油・石炭等）,自動車・同部品,一般機械・原子炉・ボイラー等,電気機器・録音機・テレビ等,酪農品・鳥卵・蜂蜜,肉・食用屑,穀物,プラスチック・同製品,塩・硫黄・土石類・セメント,飲料・アルコール・酢,スペイン,35.1%,トーゴ,9.6%,オランダ,9.1%,フランス,6.1%,イタリア,5.5%,アラブ首長国連邦,5.5%,インド,4.6%,ベルギー,3.7%,クウェート,3.2%,ガーナ,2.8%,2024,UN Comtrade / IMF DOTS (2024年)
ケイマン諸島,CYM,鉱物燃料・エネルギー（原油・石炭等）,電気機器・録音機・テレビ等,特殊取扱品（その他）,一般機械・原子炉・ボイラー等,コーヒー・茶・スパイス,鉄鋼,光学機器・写真用機器・医療用機器,真珠・貴金属・宝石・装飾品,銅・同製品,アルミニウム・同製品,鉱物燃料・エネルギー（原油・石炭等）,自動車・同部品,電気機器・録音機・テレビ等,一般機械・原子炉・ボイラー等,プラスチック・同製品,衣類・衣類付属品（織物）,真珠・貴金属・宝石・装飾品,飲料・アルコール・酢,特殊取扱品（その他）,家具・寝具・照明器具・プレハブ建築,,,,,,,,,,,,,,,,,,,,,2024,UN Comtrade / IMF DOTS (2024年)
中央アフリカ,CAF,航空機・宇宙船・同部品,真珠・貴金属・宝石・装飾品,各種の卑金属製品,自動車・同部品,木材・木製品・木炭,電気機器・録音機・テレビ等,一般機械・原子炉・ボイラー等,綿・綿織物,野菜・果実等の調製品,医薬品,鉱物燃料・エネルギー（原油・石炭等）,自動車・同部品,電気機器・録音機・テレビ等,医薬品,酪農品・鳥卵・蜂蜜,一般機械・原子炉・ボイラー等,肉・食用屑,各種調製食料品,光学機器・写真用機器・医療用機器,プラスチック・同製品,パキスタン,35.2%,チュニジア,22.8%,ポルトガル,8.7%,Sri Lanka,8.6%,アラブ首長国連邦,5.3%,モーリタニア,4.6%,Gabon,2.4%,アメリカ,2.0%,スイス,1.8%,メキシコ,1.6%,2024,UN Comtrade / IMF DOTS (2024年)
スリランカ,LKA,衣類・衣類付属品（編物）,コーヒー・茶・スパイス,衣類・衣類付属品（織物）,ゴム・同製品,鉱物燃料・エネルギー（原油・石炭等）,真珠・貴金属・宝石・装飾品,電気機器・録音機・テレビ等,魚介類・甲殻類,野菜・果実等の調製品,一般機械・原子炉・ボイラー等,鉱物燃料・エネルギー（原油・石炭等）,一般機械・原子炉・ボイラー等,電気機器・録音機・テレビ等,メリヤス編物・クロセ編物,プラスチック・同製品,綿・綿織物,鉄鋼,穀物,医薬品,食用の野菜・根菜,,,,,,,,,,,,,,,,,,,,,2024,UN Comtrade / IMF DOTS (2024年)
チリ,CHL,鉱石・スラグ・灰,銅・同製品,果実・ナッツ,魚介類・甲殻類,無機化学品・貴金属化合物,木材パルプ・回収紙,真珠・貴金属・宝石・装飾品,木材・木製品・木炭,飲料・アルコール・酢,肉・食用屑,鉱物燃料・エネルギー（原油・石炭等）,一般機械・原子炉・ボイラー等,電気機器・録音機・テレビ等,自動車・同部品,プラスチック・同製品,医薬品,肉・食用屑,光学機器・写真用機器・医療用機器,鉄鋼製品,衣類・衣類付属品（編物）,中国,37.0%,アメリカ,16.1%,日本,8.1%,韓国,4.7%,ブラジル,4.5%,インド,3.9%,スペイン,1.9%,オランダ,1.9%,メキシコ,1.7%,ドイツ,1.6%,2025,UN Comtrade / IMF DOTS (2025年)
中国,CHN,電気機器・録音機・テレビ等,一般機械・原子炉・ボイラー等,自動車・同部品,プラスチック・同製品,家具・寝具・照明器具・プレハブ建築,鉄鋼製品,特殊取扱品（その他）,衣類・衣類付属品（編物）,有機化学品,玩具・遊戯具・運動用具・同部品,電気機器・録音機・テレビ等,鉱物燃料・エネルギー（原油・石炭等）,鉱石・スラグ・灰,一般機械・原子炉・ボイラー等,真珠・貴金属・宝石・装飾品,光学機器・写真用機器・医療用機器,銅・同製品,自動車・同部品,採油用種子・果実・藁,プラスチック・同製品,アメリカ,11.2%,香港,9.0%,ベトナム,5.3%,日本,4.2%,韓国,3.9%,インド,3.6%,ドイツ,3.2%,マレーシア,2.8%,タイ,2.8%,ロシア,2.8%,2024,UN Comtrade / IMF DOTS (2024年)
コロンビア,COL,鉱物燃料・エネルギー（原油・石炭等）,真珠・貴金属・宝石・装飾品,コーヒー・茶・スパイス,生花・盆栽・苗木,果実・ナッツ,プラスチック・同製品,電気機器・録音機・テレビ等,アルミニウム・同製品,動物性・植物性油脂,糖類・砂糖菓子,一般機械・原子炉・ボイラー等,電気機器・録音機・テレビ等,鉱物燃料・エネルギー（原油・石炭等）,自動車・同部品,医薬品,プラスチック・同製品,穀物,有機化学品,鉄鋼,光学機器・写真用機器・医療用機器,アメリカ,31.8%,Panama,9.5%,中国,5.1%,Ecuador,4.3%,オランダ,4.1%,ブラジル,3.9%,インド,3.7%,ペルー,3.1%,"Venezuela, República Bolivariana de",2.6%,メキシコ,2.4%,2024,UN Comtrade / IMF DOTS (2024年)
コスタリカ,CRC,光学機器・写真用機器・医療用機器,果実・ナッツ,各種調製食料品,電気機器・録音機・テレビ等,プラスチック・同製品,野菜・果実等の調製品,医薬品,コーヒー・茶・スパイス,ゴム・同製品,動物性・植物性油脂,鉱物燃料・エネルギー（原油・石炭等）,電気機器・録音機・テレビ等,自動車・同部品,一般機械・原子炉・ボイラー等,プラスチック・同製品,光学機器・写真用機器・医療用機器,医薬品,鉄鋼,紙・板紙・製品,鉄鋼製品,アメリカ,47.8%,オランダ,9.8%,ベルギー,4.8%,Guatemala,4.6%,Nicaragua,3.6%,Honduras,3.0%,Panama,2.7%,El Salvador,2.4%,中国,2.0%,日本,1.8%,2024,UN Comtrade / IMF DOTS (2024年)
クロアチア,HRV,鉱物燃料・エネルギー（原油・石炭等）,電気機器・録音機・テレビ等,一般機械・原子炉・ボイラー等,医薬品,木材・木製品・木炭,自動車・同部品,衣類・衣類付属品（編物）,アルミニウム・同製品,プラスチック・同製品,鉄鋼製品,鉱物燃料・エネルギー（原油・石炭等）,一般機械・原子炉・ボイラー等,自動車・同部品,電気機器・録音機・テレビ等,医薬品,プラスチック・同製品,衣類・衣類付属品（編物）,鉄鋼製品,アルミニウム・同製品,光学機器・写真用機器・医療用機器,ドイツ,12.6%,スロベニア,11.8%,イタリア,11.6%,Bosnia and Herzegovina,10.8%,セルビア,5.6%,オーストリア,5.0%,ハンガリー,4.6%,アメリカ,2.8%,スロバキア,2.6%,フランス,2.5%,2025,UN Comtrade / IMF DOTS (2025年)
キプロス,CYP,鉱物燃料・エネルギー（原油・石炭等）,船舶・浮体構造物,医薬品,酪農品・鳥卵・蜂蜜,精油・香料・化粧品,電気機器・録音機・テレビ等,一般機械・原子炉・ボイラー等,食用の野菜・根菜,魚介類・甲殻類,たばこ・製造たばこ代用品,鉱物燃料・エネルギー（原油・石炭等）,自動車・同部品,船舶・浮体構造物,一般機械・原子炉・ボイラー等,電気機器・録音機・テレビ等,医薬品,プラスチック・同製品,飲料・アルコール・酢,鉄鋼,精油・香料・化粧品,Libya,26.9%,Lebanon,7.1%,ギリシャ,6.8%,イスラエル,5.3%,イギリス,5.2%,スウェーデン,4.0%,フランス,3.7%,"Egypt, Arab Republic of",3.6%,"Marshall Islands, Republic of the",2.2%,ドイツ,2.1%,2025,UN Comtrade / IMF DOTS (2025年)
チェコ,CZE,自動車・同部品,電気機器・録音機・テレビ等,一般機械・原子炉・ボイラー等,プラスチック・同製品,鉄鋼製品,光学機器・写真用機器・医療用機器,家具・寝具・照明器具・プレハブ建築,ゴム・同製品,玩具・遊戯具・運動用具・同部品,鉱物燃料・エネルギー（原油・石炭等）,電気機器・録音機・テレビ等,一般機械・原子炉・ボイラー等,自動車・同部品,鉱物燃料・エネルギー（原油・石炭等）,プラスチック・同製品,医薬品,鉄鋼,光学機器・写真用機器・医療用機器,鉄鋼製品,家具・寝具・照明器具・プレハブ建築,ドイツ,31.7%,スロバキア,7.6%,ポーランド,7.3%,フランス,4.9%,イギリス,4.2%,オーストリア,4.0%,イタリア,3.9%,オランダ,3.1%,ハンガリー,3.1%,アメリカ,2.8%,2025,UN Comtrade / IMF DOTS (2025年)
ベナン,BEN,綿・綿織物,採油用種子・果実・藁,食品工業廃棄物・飼料,果実・ナッツ,動物性・植物性油脂,鉄鋼,鉱物燃料・エネルギー（原油・石炭等）,野菜・果実等の調製品,航空機・宇宙船・同部品,木材・木製品・木炭,穀物,鉱物燃料・エネルギー（原油・石炭等）,一般機械・原子炉・ボイラー等,電気機器・録音機・テレビ等,医薬品,自動車・同部品,鉄鋼,肥料,プラスチック・同製品,魚介類・甲殻類,バングラデシュ,43.7%,インド,7.9%,デンマーク,6.3%,アメリカ,5.5%,パキスタン,5.5%,ベルギー,4.6%,Chad,3.2%,アラブ首長国連邦,2.7%,トーゴ,2.3%,ナイジェリア,2.2%,2024,UN Comtrade / IMF DOTS (2024年)
デンマーク,DNK,医薬品,一般機械・原子炉・ボイラー等,電気機器・録音機・テレビ等,鉱物燃料・エネルギー（原油・石炭等）,光学機器・写真用機器・医療用機器,自動車・同部品,鉄鋼製品,肉・食用屑,有機化学品,酪農品・鳥卵・蜂蜜,一般機械・原子炉・ボイラー等,自動車・同部品,電気機器・録音機・テレビ等,鉱物燃料・エネルギー（原油・石炭等）,医薬品,プラスチック・同製品,光学機器・写真用機器・医療用機器,鉄鋼製品,船舶・浮体構造物,衣類・衣類付属品（織物）,ドイツ,14.7%,スウェーデン,9.1%,アメリカ,7.4%,オランダ,6.4%,ノルウェー,5.8%,中国,5.7%,ポーランド,5.0%,イギリス,4.5%,フランス,3.7%,イタリア,2.6%,2025,UN Comtrade / IMF DOTS (2025年)
ドミニカ共和国,DOM,真珠・貴金属・宝石・装飾品,光学機器・写真用機器・医療用機器,たばこ・製造たばこ代用品,電気機器・録音機・テレビ等,プラスチック・同製品,衣類・衣類付属品（編物）,医薬品,ココア・ココア調製品,果実・ナッツ,鉄鋼,鉱物燃料・エネルギー（原油・石炭等）,一般機械・原子炉・ボイラー等,自動車・同部品,プラスチック・同製品,電気機器・録音機・テレビ等,医薬品,鉄鋼,真珠・貴金属・宝石・装飾品,鉄鋼製品,穀物,アメリカ,57.3%,Haiti,7.4%,スイス,6.1%,インド,5.4%,オランダ,3.1%,中国,3.0%,カナダ,1.5%,ドイツ,1.1%,Jamaica,0.9%,ベルギー,0.9%,2024,UN Comtrade / IMF DOTS (2024年)
エクアドル,ECU,鉱物燃料・エネルギー（原油・石炭等）,魚介類・甲殻類,果実・ナッツ,ココア・ココア調製品,鉱石・スラグ・灰,肉・魚介類の調製品,真珠・貴金属・宝石・装飾品,生花・盆栽・苗木,木材・木製品・木炭,食用の野菜・根菜,鉱物燃料・エネルギー（原油・石炭等）,一般機械・原子炉・ボイラー等,電気機器・録音機・テレビ等,自動車・同部品,食品工業廃棄物・飼料,プラスチック・同製品,医薬品,鉄鋼,各種化学工業生産品,穀物,Panama,18.2%,中国,16.2%,アメリカ,15.1%,オランダ,4.1%,ペルー,4.1%,スペイン,3.4%,コロンビア,2.9%,イタリア,2.6%,トルコ,2.5%,ロシア,2.4%,2024,UN Comtrade / IMF DOTS (2024年)
エルサルバドル,SLV,衣類・衣類付属品（編物）,プラスチック・同製品,電気機器・録音機・テレビ等,紙・板紙・製品,鉱物燃料・エネルギー（原油・石炭等）,糖類・砂糖菓子,穀物・粉製品・製菓,鉄鋼,飲料・アルコール・酢,医薬品,鉱物燃料・エネルギー（原油・石炭等）,一般機械・原子炉・ボイラー等,電気機器・録音機・テレビ等,自動車・同部品,プラスチック・同製品,医薬品,鉄鋼,各種調製食料品,穀物,肉・食用屑,アメリカ,33.1%,Guatemala,19.8%,Honduras,16.9%,Nicaragua,9.2%,Costa Rica,4.5%,メキシコ,3.9%,Panama,1.9%,Dominican Republic,1.7%,スペイン,1.1%,ベルギー,0.9%,2025,UN Comtrade / IMF DOTS (2025年)
エストニア,EST,電気機器・録音機・テレビ等,木材・木製品・木炭,自動車・同部品,一般機械・原子炉・ボイラー等,鉱物燃料・エネルギー（原油・石炭等）,家具・寝具・照明器具・プレハブ建築,鉄鋼製品,光学機器・写真用機器・医療用機器,プラスチック・同製品,酪農品・鳥卵・蜂蜜,電気機器・録音機・テレビ等,自動車・同部品,鉱物燃料・エネルギー（原油・石炭等）,一般機械・原子炉・ボイラー等,プラスチック・同製品,医薬品,木材・木製品・木炭,鉄鋼,鉄鋼製品,光学機器・写真用機器・医療用機器,フィンランド,15.2%,"Latvia, Republic of",11.4%,スウェーデン,8.8%,"Lithuania, Republic of",8.8%,ドイツ,7.6%,ポーランド,4.4%,オランダ,3.8%,ノルウェー,3.3%,アメリカ,3.1%,デンマーク,2.7%,2025,UN Comtrade / IMF DOTS (2025年)
フィジー,FJI,鉱物燃料・エネルギー（原油・石炭等）,特殊取扱品（その他）,真珠・貴金属・宝石・装飾品,魚介類・甲殻類,飲料・アルコール・酢,糖類・砂糖菓子,木材・木製品・木炭,採油用種子・果実・藁,穀物・粉製品・製菓,航空機・宇宙船・同部品,鉱物燃料・エネルギー（原油・石炭等）,一般機械・原子炉・ボイラー等,電気機器・録音機・テレビ等,自動車・同部品,プラスチック・同製品,特殊取扱品（その他）,穀物,航空機・宇宙船・同部品,酪農品・鳥卵・蜂蜜,鉄鋼製品,アメリカ,17.9%,オーストラリア,15.5%,ニュージーランド,7.8%,Tonga,7.4%,中国,6.5%,シンガポール,5.8%,イギリス,5.0%,韓国,3.8%,American Samoa,3.6%,Samoa,3.6%,2025,UN Comtrade / IMF DOTS (2025年)
フィンランド,FIN,一般機械・原子炉・ボイラー等,電気機器・録音機・テレビ等,紙・板紙・製品,鉱物燃料・エネルギー（原油・石炭等）,鉄鋼,自動車・同部品,光学機器・写真用機器・医療用機器,木材・木製品・木炭,木材パルプ・回収紙,プラスチック・同製品,一般機械・原子炉・ボイラー等,鉱物燃料・エネルギー（原油・石炭等）,電気機器・録音機・テレビ等,自動車・同部品,鉱石・スラグ・灰,プラスチック・同製品,医薬品,鉄鋼,光学機器・写真用機器・医療用機器,鉄鋼製品,スウェーデン,11.7%,アメリカ,10.6%,ドイツ,10.1%,オランダ,7.8%,中国,4.6%,ポーランド,3.8%,イギリス,3.7%,ベルギー,3.6%,ノルウェー,3.4%,"Estonia, Republic of",3.3%,2025,UN Comtrade / IMF DOTS (2025年)
フランス,FRA,一般機械・原子炉・ボイラー等,自動車・同部品,電気機器・録音機・テレビ等,航空機・宇宙船・同部品,医薬品,鉱物燃料・エネルギー（原油・石炭等）,精油・香料・化粧品,プラスチック・同製品,飲料・アルコール・酢,真珠・貴金属・宝石・装飾品,鉱物燃料・エネルギー（原油・石炭等）,一般機械・原子炉・ボイラー等,自動車・同部品,電気機器・録音機・テレビ等,医薬品,プラスチック・同製品,光学機器・写真用機器・医療用機器,真珠・貴金属・宝石・装飾品,有機化学品,航空機・宇宙船・同部品,ドイツ,13.6%,イタリア,8.1%,アメリカ,7.9%,ベルギー,7.6%,スペイン,7.6%,イギリス,6.5%,オランダ,4.0%,中国,4.0%,スイス,3.7%,ポーランド,2.7%,2024,UN Comtrade / IMF DOTS (2024年)
ジョージア,GEO,自動車・同部品,飲料・アルコール・酢,鉄鋼,鉱石・スラグ・灰,果実・ナッツ,一般機械・原子炉・ボイラー等,鉱物燃料・エネルギー（原油・石炭等）,医薬品,衣類・衣類付属品（編物）,肥料,自動車・同部品,鉱物燃料・エネルギー（原油・石炭等）,一般機械・原子炉・ボイラー等,電気機器・録音機・テレビ等,医薬品,プラスチック・同製品,鉄鋼,鉄鋼製品,精油・香料・化粧品,家具・寝具・照明器具・プレハブ建築,Kyrgyz Republic,20.6%,"Kazakhstan, Republic of",12.5%,ロシア,10.3%,"Azerbaijan, Republic of",9.6%,"Armenia, Republic of",7.6%,トルコ,4.6%,中国,4.5%,ブルガリア,3.3%,"Uzbekistan, Republic of",3.0%,"Tajikistan, Republic of",2.5%,2024,UN Comtrade / IMF DOTS (2024年)
